id,address,latitude,longitude,address_road,building_name,age,main_use,floor,under_floor,structure_name,structure_category,gf_area,bc_area,bc_ratio,fa_ratio,parking_lot_count,area,connection_area,landuse_zone,landuse_district,jimok,lot_road,lot_height,lot_shape,icp_potential_landlocked,development_state,naver_longitude,naver_latitude,naver_pnu
2823710400100110039,인천 부평구 청천동 11-39,37.51765494,126.70540915,청중로 73,,32,제2종근린생활시설,5.0,1.0,철근콘크리트조,철골철근콘크리트,1803.7,291.4,56.3,275.6,0.0,517.8,517.8,준공업지역,,대지,중로각지,평지,가장형,False,,126.7054083,37.5176654,2.82371040010011e+18
2823710400104230006,인천 부평구 청천동 423-6,37.51770169,126.71286711,평천로199번길 16,(주)에이앤비,1,공장,2.0,0.0,일반철골구조,철골,2724.3,1363.5,66.9,133.6,8.0,1196.6,2038.5,일반공업지역,,공장,소로한면,평지,세장형,False,,126.7128689,37.5177461,2.82371040010423e+18
2823710400104030007,인천 부평구 청천동 403-7,37.52342831,126.71117766,청천마차로 180,,26,제2종근린생활시설,2.0,0.0,경량철골구조,경량철골,140.6,118.7,59.2,70.1,0.0,200.6,200.6,일반공업지역,,대지,세로(가),평지,정방형,False,,126.7111748,37.5234406,2.82371040010403e+18
2823710400104040022,인천 부평구 청천동 404-22,37.52279547,126.71359217,부평북로 183,상우하이텍-1,4,공장,3.0,0.0,일반철골구조,철골,1064.4,354.8,68.3,204.9,5.0,519.5,519.5,일반공업지역,,공장,중로각지,평지,가장형,False,,126.7135919,37.522795,2.82371040010404e+18
2823710400104030032,인천 부평구 청천동 403-32,37.52329118,126.71241178,청천마차로 192,네오브레이드코리아,10,공장,4.0,0.0,일반철골구조,철골,1416.3,461.5,69.8,214.1,4.0,661.5,661.5,일반공업지역,,공장,세로(가),평지,세장형,False,,126.7124095,37.5233043,2.82371040010403e+18
2823710400104230017,인천 부평구 청천동 423-17,37.51806481,126.71449799,안남로402번길 76,(주)이피아이티,2,공장,5.0,0.0,일반철골구조,철골,6883.0,1390.2,67.8,335.8,46.0,2050.0,2050.0,일반공업지역,,공장,소로한면,평지,세장형,False,,126.7144969,37.5180816,2.82371040010423e+18
2823710400104030016,인천 부평구 청천동 403-16,37.52290149,126.713244,부평북로 181,,5,공장,5.0,0.0,일반철골구조,철골,2917.8,586.5,66.6,331.2,8.0,881.0,881.0,일반공업지역,,대지,중로각지,평지,세장형,False,,126.7132413,37.5229061,2.82371040010403e+18
2823710400101770009,인천 부평구 청천동 177-9,37.51474109,126.70602071,세월천로30번길 39,동원테크노파크,7,공장,7.0,0.0,일반철골구조,철골,7392.6,1360.4,69.1,375.6,33.0,1968.4,1968.4,준공업지역,,공장,소로각지,평지,정방형,False,,126.7060225,37.5148109,2.82371040010177e+18
2823710400100670013,인천 부평구 청천동 67-13,37.5202469,126.69019616,청농로 29,대흥과학(주),7,공장,4.0,0.0,일반철골구조,철골,4396.5,1359.5,69.2,224.0,13.0,1963.0,1963.0,준공업지역,,공장,소로한면,평지,사다리,False,,126.6902499,37.5202099,2.82371040010067e+18
2823710400100650003,인천 부평구 청천동 65-3,37.51926663,126.6886258,,,0,,,,,건물없음,,,,,,633.0,633.0,준공업지역,,답,세로(가),평지,삼각형,False,,126.6886068,37.5193001,2.82371040010065e+18
